"Paste","Beilleszt",""
"Core","Core",""
"Application","Program",""
"Key Management","Kulcskezelés",""
"Style","Stílus",""
"Modules","Modulok",""
"Download Recent Database","Friss adatbázis letöltése",""
"Cannot bootstrap recent database in manual mode","Nem lehet betölteni a legutóbbi adatbázist kézi módban",""
"Please wait for Nexus Core to start.","Kérjük, várjon, amíg a Nexus Core elindul.",""
"Reload wallet GUI","",""
"Toggle FullScreen","Váltás Teljes képernyő",""
"Toggle Developer Tools","Fejlesztőeszközök ki-/ bekapcsolása",""
"Toggle Module's Developer Tools","Modul Fejlesztőeszközök ki-/ bekapcsolása",""
"Nexus Website","Nexus Weboldal",""
"Nexus Git Repository","Nexus Git Adattár",""
"Nexus Wallet Guide","Nexus Wallet Útmutató",""
"Report Bug","",""
"Open Core Data Folder","",""
"Open Interface Data Folder","",""
"Check for Updates...","Frissítés Keresése...",""
"There are currently no updates available","Jelenleg nincs elérhető frissítés",""
"Checking for Updates...","Frissítések Ellenőrzése...",""
"Update available! Downloading...","Frissítés elérhető! Letöltés...",""
"Quit and install update...","Kilépés és a frissítés telepítése...",""
"File","Fájl",""
"Edit","Szerkeszt",""
"Settings","Beállítások",""
"View","Nézet",""
"Help","Segítség",""
"Error","",""
"Unknown error","Ismeretlen hiba",""
"Required!","",""
"Invalid!","",""
"Out of range!","",""
"Must be at least %{min} characters","",""
"Update available for %{smart_count} module |||| Updates available for %{smart_count} modules","",""
"Error fetching transactions","",""
"New transaction","",""
"%{smart_count} day |||| %{smart_count} days","",""
"%{smart_count} hour |||| %{smart_count} hours","",""
"%{smart_count} minute |||| %{smart_count} minutes","",""
"%{smart_count} second |||| %{smart_count} seconds","",""
"Switch user","","Header.UserDropdown"
"Log in to another user","","Header.UserDropdown"
"Accounts","","Header.UserDropdown"
"Tokens","","Header.UserDropdown"
"Set recovery phrase","","Header.UserDropdown"
"Log out of all users","","Header.UserDropdown"
"Log out","Kijelentkezés","Header.UserDropdown"
"Log in","","Header.UserDropdown"
"Create new user","","Header.UserDropdown"
"Overview","Áttekintés","NavigationBar"
"User","","NavigationBar"
"Send","Küldés","NavigationBar"
"Transactions","Tranzakciók","NavigationBar"
"Address Book","Címjegyzék","NavigationBar"
"Settings","Beállítások","NavigationBar"
"Console","Konzol","NavigationBar"
"Lite mode","","LiteModeNotice"
"Lite mode is now available on Nexus Wallet! You can choose to enable lite mode now or just ignore it. You can change your decision anytime under Settings/Core.","","LiteModeNotice"
"Why you might want to enable lite mode","","LiteModeNotice"
"Nexus Core would take less resources (memory and storage) to run","","LiteModeNotice"
"Synchronization would be much faster","","LiteModeNotice"
"Why you might NOT want to enable lite mode","","LiteModeNotice"
"You would NOT be able to mine or stake","","LiteModeNotice"
"Legacy Mode would be disabled","","LiteModeNotice"
"Ignore","Ignorál","LiteModeNotice"
"Enable lite mode","","LiteModeNotice"
"Token balances","","Overview"
"The balance displayed might not be up-to-date since the wallet is not yet fully synchronized","Lehet, hogy a megjelenített egyenleg nem naprakész, mivel a pénztárca még nincs teljesen szinkronizálva","Overview"
"Balance","Egyenleg","Overview"
"OTHER TOKENS","","Overview"
"NXS Balance","","Overview"
"%{token_name} balance","","Overview"
