"%{name}'s Address","%{name}'s Address"
"%{name}'s Nexus address","%{name}'s Nexus address"
"%{smart_count} address |||| %{smart_count} addresses","%{smart_count} address |||| %{smart_count} addresses"
"Error sending NXS","Error sending NXS"
"Execute","Execute"
"Exit manual Core mode?","Exit manual Core mode?"
"Export contacts","Export contacts"
"Export custom theme","Export custom theme"
"Fake Test Transactions","Fake Test Transactions"
"Fee","Fee"
"File","File"
"Foreground Color","Foreground Color"
"From account","From account"
"Generate","Generate"
"Genesis","Genesis"
"Genesis transaction","Genesis transaction"
"Getting next block...","Getting next block..."
"Globe Arch Color","Globe Arch Color"
"Globe Color","Globe Color"
"Globe Pillar Color","Globe Pillar Color"
"Hash Difficulty","Hash Difficulty"
"Help","Help"
"High","High"
"I understand the risk","I understand the risk"
"IMPROPER USE OF THIS SOFTWARE COULD LEAD TO PERMANENT LOSS OF COIN.","IMPROPER USE OF THIS SOFTWARE COULD LEAD TO PERMANENT LOSS OF COIN."
"IP address","IP address"
"IP address configured for manual Core.","IP address configured for manual Core."
"IP/Ports allowed to mine to. Separate by <b>;</b> . Wildcards supported only in IP","IP/Ports allowed to mine to. Separate by <b>;</b> . Wildcards supported only in IP"
"Ignore","Ignore"
"Immature","Immature"
"Immature Balance","Immature Balance"
"Import","Import"
"Import custom theme","Import custom theme"
"Import private key","Import private key"
"Install Module","Install Module"
"Install it later","Install it later"
"Installing Module...","Installing Module..."
"Interface Version","Interface Version"
"Invalid account name","Invalid account name"
"Invalid address","Invalid address"
"Invalid amount","Invalid amount"
"Invalid email","Invalid email"
"Invalid file format! Custom theme file must be in JSON","Invalid file format! Custom theme file must be in JSON"
"It is highly recommended that you should encrypt your wallet to keep your NXS safe.","It is highly recommended that you should encrypt your wallet to keep your NXS safe."
"It would be much easier for a closed source module to hide
              malicious code than for an open source one. Therefore, in case you
              still want to disable this setting, it is highly recommended that
              you only install and run closed source modules that you are
              developing yourself.","It would be much easier for a closed source module to hide
              malicious code than for an open source one. Therefore, in case you
              still want to disable this setting, it is highly recommended that
              you only install and run closed source modules that you are
              developing yourself."
"Keep auto update On","Keep auto update On"
"Keep policy on","Keep policy on"
"Keeping your wallet up-to-date is important for your security and will ensure that you get the best possible user experience.","Keeping your wallet up-to-date is important for your security and will ensure that you get the best possible user experience."
